ID,カード名,属性,カード種別,レアリティ,種族,コスト,攻撃力,HP,効果
COR_001,イグニス,Red,Unit Card,Common,Human,3,2,5,登場時：自身のEXポケットに「火種」を1枚加える。自身がアクションカードを使ったとき、このユニットの攻撃力を＋1。
COR_002,ライガ,Red,Unit Card,Rare,Human,4,3,7,プレイ時：自身のEXポケットに「焔の洗礼」を1枚加える。自身がEXポケットからカードを使ったとき、ランダムな敵ユニット1体に2ダメージ。
COR_003,アッシュ,Red,Unit Card,Common,Human,2,1,4,EXポケットからアクションカードを使ったとき、このユニットは即時攻撃を行う。
COR_004,バーン,Red,Unit Card,Common,Beast,3,3,4,攻撃時：ランダムな敵ユニットに振り分け4ダメージ
COR_005,ツインバレット,Red,Unit Card,Epic,Human,5,4,6,登場時：正面の敵ユニット1体に4ダメージ。「火種」を3枚以上使っていた場合、代わりに7ダメージを与え、敵ヒーローに2ダメージ与える。
COR_006,爆奏のヴァルド,Red,Unit Card,Legendary,Human,6,4,8,登場時：自身の使用したアクションカードの数、敵ユニットに1ダメージを振り分ける。自身がEXポケットからカードを使うたび、敵リーダーに2ダメージ。
COR_007,スパーク,Red,Unit Card,Common,Human,3,2,5,登場時：正面の敵ユニットに1ダメージ。効果ダメージで敵ユニットが破壊されたとき、このユニットに+1/+1。
COR_008,ラッシュ,Red,Unit Card,Common,Human,3,3,4,攻撃時：正面の敵ユニットに3ダメージ
COR_009,スポッター,Red,Unit Card,Common,Human,3,1,6,場にいる間、自身のアクションカードのダメージを+1する。
COR_010,マルク,Red,Unit Card,Rare,Human,5,4,4,登場時：正面以外の全ての敵ユニットに5ダメージ。
COR_011,レグナ,Red,Unit Card,Epic,Human,5,2,7,登場時：敵ユニット1体に3ダメージ。自身の効果ダメージで敵ユニットが破壊されるたび、ランダムな味方ユニット1体に+2/+2を付与する。
COR_012,煉獄の覇者 カイゼル,Red,Unit Card,Legendary,Human,6,3,7,登場時：敵リーダーに自信のユニットが受けるダメージをすべて+1するを付与する。ランダムな敵ユニット一体に7ダメージを与える。
COR_013,クーリエ,Red,Unit Card,Common,Human,2,1,4,登場時：ランダムな味方ユニット1体に俊敏を付与する。
COR_014,トラッカー,Red,Unit Card,Common,Human,2,2,3,登場時：デッキから「火種」1枚を探してEXポケットに加える。
COR_015,ガイド,Red,Unit Card,Rare,Human,3,2,6,登場時：「火種」1枚をEXポケットに加える。自分が「火種」を使用したとき、このユニット攻撃力を+1する。
COR_016,メッセンジャー,Red,Unit Card,Common,Human,2,1,5,登場時：「火種」をEXポケットに加える。
COR_017,ブレイカー,Red,Unit Card,Epic,Machine,5,3,7,「火種」を3枚以上使用していた場合、攻撃時:正面のユニットに5ダメージを与えるを得る。俊敏
COR_018,スキャッター,Red,Unit Card,Common,Human,1,1,3,登場時：正面の敵ユニット1体に1ダメージ。正面のユニットのHPが3以下なら、代わりに3ダメージ。
COR_019,ダスター,Red,Unit Card,Common,Human,2,2,4,登場時：正面の敵ユニット1体に「そのユニットが受ける効果ダメージを+3する」を付与する。
COR_020,プロード,Red,Unit Card,Common,Human,3,2,5,登場時：ランダムな味方ユニット1体に「攻撃時：正面のユニットに自身の攻撃力分のダメージ与える」を付与する。
COR_021,シールド,Red,Unit Card,Common,Human,3,2,6,登場時：このユニットはアクションカードのダメージを受けない。
COR_022,ブレード,Red,Unit Card,Rare,Human,4,3,5,相手がアクションカードを使用した時、即時攻撃を行う
COR_023,コマンダー,Red,Unit Card,Common,Human,3,2,6,登場時：全ての味方ユニット+1攻撃力を付与する。
COR_024,アーマー,Red,Unit Card,Common,Machine,3,1,7,登場時：ランダムな味方ユニット1体に+2攻撃力を付与する。
COR_025,ハンター,Red,Unit Card,Epic,Beast,4,4,4,俊敏。攻撃時：このユニットの攻撃力を+1する。
COR_026,黎明の守護者レイシア,Red,Unit Card,Legendary,Human,6,4,7,登場時：味方ユニットすべてに、それぞれの正面の敵ユニットの攻撃力と同じ値の攻撃力強化を付与する
COR_027,火種,Red,Action Card,Common,,1,,,敵ユニット1体に2ダメージ。
